,Open,Date,High,Low,Close,Volume
246,264.5,5/14/2013 0:00,264.0299988,269.3999939,268.3299866,2700000
247,267.0700073,5/15/2013 0:00,264.5599976,269.0499878,266.5599976,2720500
248,265.9599915,5/16/2013 0:00,263.8500061,268.4299927,264.1199951,1643500
249,265.8299866,5/17/2013 0:00,265,269.980011,269.8999939,2527300
250,269,5/20/2013 0:00,266.5,271.7900085,267.6300049,2209000
251,268.7399902,5/21/2013 0:00,267.6600037,270.769989,268.8599854,1741200
252,267.3900146,5/22/2013 0:00,260.7999878,267.5899963,262.9599915,3332000
253,260.4899902,5/23/2013 0:00,259.5899963,263.1700134,261.7999878,2000300
254,259.8500061,5/24/2013 0:00,258.3399963,261.9299927,261.7399902,1696300
255,266.480011,5/28/2013 0:00,266,271.1000061,267.2900085,3471000
256,265.4599915,5/29/2013 0:00,264.8399963,268.25,265.5299988,1903400
257,265.7099915,5/30/2013 0:00,265.6099854,268.5700073,266.8299866,1667500
258,266,5/31/2013 0:00,265.9400024,271.9100037,269.2000122,3374300
259,268.9599915,6/3/2013 0:00,262.9500122,269.1099854,266.8800049,2543900
260,267,6/4/2013 0:00,263.019989,268.8800049,265.7000122,2088600
261,265.8099976,6/5/2013 0:00,265.019989,271.6600037,267.1700134,3512300
262,267.75,6/6/2013 0:00,264.2099915,270.5,267.8299866,2476300
263,269.7399902,6/7/2013 0:00,269.1300049,280.1000061,276.8699951,4632600
264,276.6799927,6/10/2013 0:00,275.2399902,282.4700012,281.0700073,3086500
265,276,6/11/2013 0:00,274.2399902,278.4100037,274.7799988,3097800
266,276.6000061,6/12/2013 0:00,270.4500122,276.7999878,271.6700134,2238900
267,271.5,6/13/2013 0:00,270.2900085,276.7999878,275.7900085,2649800
268,275,6/14/2013 0:00,273.4400024,277.0700073,273.9899902,2150800
269,276.3500061,6/17/2013 0:00,275.6499939,280.2000122,278.0599976,2884000
270,279.0799866,6/18/2013 0:00,278.1099854,282.9100037,281.7600098,2146100
271,281.2600098,6/19/2013 0:00,277.8699951,283.3399963,278.1600037,2827500
272,275.1400146,6/20/2013 0:00,272.3900146,278.6000061,273.4400024,2984000
273,274.5700073,6/21/2013 0:00,269.7900085,275.8399963,273.3599854,4201000
274,271.2900085,6/24/2013 0:00,265,273.1600037,270.6099854,3863800
275,272.2999878,6/25/2013 0:00,269,273.4700012,272.0899963,2449600
276,273.980011,6/26/2013 0:00,273.5,277.980011,277.5700073,3029500
277,279.1799927,6/27/2013 0:00,274.5400085,280.2000122,277.5499878,2519500
278,276.1900024,6/28/2013 0:00,276.1900024,279.8299866,277.6900024,3193300
279,279,7/1/2013 0:00,277.1600037,283.2900085,282.1000061,2888200
280,281.0400085,7/2/2013 0:00,280.5899963,286.5799866,283.730011,3238200
281,282,7/3/2013 0:00,282,285.3999939,284.0299988,1373000
282,285,7/5/2013 0:00,282.0700073,286.3800049,285.8800049,1985400
283,286.4200134,7/8/2013 0:00,286.1400146,291.6700134,290.5899963,3046700
284,291,7/9/2013 0:00,288.0100098,292.5700073,291.5299988,2775600
285,291.4100037,7/10/2013 0:00,289.3999939,293.3399963,292.3299866,1810200
286,294.9899902,7/11/2013 0:00,292.1000061,300.6900024,299.6600037,4007300
287,298.6900024,7/12/2013 0:00,298.5,307.5499878,307.5499878,4539300
288,307.269989,7/15/2013 0:00,304.3500061,307.9899902,306.5700073,2245600
289,307.2999878,7/16/2013 0:00,305.5100098,309.3900146,306.8699951,2660200
290,306.9700012,7/17/2013 0:00,305.6900024,308.7999878,308.6900024,2029700
291,306.269989,7/18/2013 0:00,301.8699951,306.3399963,304.1099854,3063800
292,304.3900146,7/19/2013 0:00,301.9100037,305.7900085,305.230011,2973100
293,309.25,7/22/2013 0:00,302,309.25,303.480011,2520700
294,303.1600037,7/23/2013 0:00,300.5599976,305.0599976,301.0599976,1999600
295,303.019989,7/24/2013 0:00,298.0400085,303.8399963,298.9400024,2000500
296,299,7/25/2013 0:00,296.75,304.5,303.3999939,5405800
297,299.5499878,7/26/2013 0:00,295.5499878,313.6199951,312.0100098,8817500
298,311.0700073,7/29/2013 0:00,305.8999939,313,306.1000061,3211800
299,307.7200012,7/30/2013 0:00,301.5700073,309.7799988,302.4100037,3053400
300,303.9100037,7/31/2013 0:00,301,305.1499939,301.2200012,1891300
301,303.0799866,8/1/2013 0:00,298.8999939,306.2099915,305.5700073,2971700
302,304.6300049,8/2/2013 0:00,301.5,305.3299866,304.2099915,2502600
303,303.3999939,8/5/2013 0:00,298.2999878,303.6199951,300.9899902,2233200
304,300.5100098,8/6/2013 0:00,297.519989,301.3599854,300.75,1849000
305,300.1499939,8/7/2013 0:00,296.1499939,300.9899902,296.9100037,1961000
306,298.519989,8/8/2013 0:00,292.5499878,298.519989,295.7399902,2343400
307,295.6799927,8/9/2013 0:00,294.2999878,299.269989,297.2600098,1950300
308,295.7900085,8/12/2013 0:00,295.2600098,299.0799866,296.6900024,1504500
309,295.8800049,8/13/2013 0:00,290.6700134,296.3699951,293.9700012,2349900
310,294.2900085,8/14/2013 0:00,290.5400085,294.2900085,291.3399963,1415000
311,288.7900085,8/15/2013 0:00,285.1499939,289.2999878,286.4700012,2261400
312,286.5499878,8/16/2013 0:00,284.5,288.3299866,284.8200073,2422500
313,285.1900024,8/19/2013 0:00,283.480011,289.5599976,285.5700073,2477400
